date_time,Voltage_Set,Height
"2026-05-11 10:18:57",0,0.664167
"2026-05-11 10:18:58",0,0.694861
"2026-05-11 10:18:59",0,0.648819
"2026-05-11 10:19:00",0,0.664167
"2026-05-11 10:19:01",0,0.664167
"2026-05-11 10:19:02",0,0.664167
"2026-05-11 10:19:03",0,0.633472
"2026-05-11 10:19:04",0,0.633472
"2026-05-11 10:19:05",0,0.679514
"2026-05-11 10:19:06",0,0.679514
"2026-05-11 10:19:07",0,0.679514
"2026-05-11 10:19:08",0,0.664167
"2026-05-11 10:19:09",0,0.664167
"2026-05-11 10:19:10",0,0.664167
"2026-05-11 10:19:11",0,0.648819
"2026-05-11 10:19:12",0,0.664167
"2026-05-11 10:19:13",0,0.648819
"2026-05-11 10:19:33",0,0.648819
"2026-05-11 10:19:34",0,0.648819
"2026-05-11 10:19:36",0,0.633472
"2026-05-11 10:19:37",0,0.664167
"2026-05-11 10:19:38",0,0.664167
"2026-05-11 10:19:39",0,0.679514
"2026-05-11 10:19:40",9.97629,0.694861
"2026-05-11 10:19:41",9.97629,2.67465
"2026-05-11 10:19:42",9.95362,4.42424
"2026-05-11 10:19:43",9.98719,5.25299
"2026-05-11 10:19:44",9.90783,7.58576
"2026-05-11 10:19:45",9.84452,7.49368
"2026-05-11 10:19:46",9.81771,7.57042
"2026-05-11 10:19:47",9.78897,7.64715
"2026-05-11 10:19:48",9.76561,8.01549
"2026-05-11 10:19:49",9.77799,8.38382
"2026-05-11 10:19:50",9.80328,8.69076
"2026-05-11 10:19:51",9.81685,8.98236
"2026-05-11 10:19:52",9.8346,9.28931
"2026-05-11 10:19:53",9.83523,9.59625
"2026-05-11 10:19:54",9.82659,9.88785
"2026-05-11 10:19:55",9.81222,10.2101
"2026-05-11 10:19:56",9.7924,10.471
"2026-05-11 10:19:57",9.76377,10.7319
"2026-05-11 10:19:58",9.72454,11.2844
"2026-05-11 10:19:59",9.68561,11.2998
"2026-05-11 10:20:00",9.67037,11.5453
"2026-05-11 10:20:01",9.6675,11.8216
"2026-05-11 10:20:02",9.66891,12.0518
"2026-05-11 10:20:03",9.6678,12.2974
"2026-05-11 10:20:04",9.66326,12.5276
"2026-05-11 10:20:05",8.40898,12.7885
"2026-05-11 10:20:06",9.64774,12.9419
"2026-05-11 10:20:07",9.64774,13.1415
"2026-05-11 10:20:08",9.5681,13.3717
"2026-05-11 10:20:09",9.60646,13.5865
"2026-05-11 10:20:10",9.57645,13.8167
"2026-05-11 10:20:11",9.57645,14.0469
